Hash,Contributor,Date & Time,Change
9d40dbe,hl533,"Thu, 10 Oct 2019 10:16:13 -0400",EDIT: Consolidated sourcelists to Sources.md (No repeating!)
3883560,Harrison Lu,"Thu, 10 Oct 2019 09:08:52 -0400",TASK: Deleted Redundant READMEs (Dont repeat yourself!)
4f22352,Harrison Lu,"Wed, 9 Oct 2019 09:25:50 -0400",EDIT: Maybe actually final changes to changelog now
61b02ce,Harrison Lu,"Wed, 9 Oct 2019 09:14:42 -0400",EDIT: Changes to section links in main README
7f2cd9d,Harrison Lu,"Tue, 8 Oct 2019 17:19:20 -0400",EDIT: Formatting changes to main and sec 2 README docs
00029ad,Harrison Lu,"Tue, 8 Oct 2019 16:40:03 -0400",EDIT: Formatting edit to README in changelog section
89a77f3,Harrison Lu,"Tue, 8 Oct 2019 16:26:54 -0400",TASK: Completed changes to changelog in Changelog and README
e0eb623,Roberto Rivera,"Tue, 8 Oct 2019 16:11:06 -0400","FEATURE: Exlpained the what the ls command is, why cls clear clr ESC git commit -m FEATURE"
17e4b40,Harrison Lu,"Mon, 7 Oct 2019 16:41:41 -0400",TASK: Added log.csv and changelog to readme and added sources
01af49f,Harrison Lu,"Mon, 7 Oct 2019 15:28:28 -0400",EDIT: A couple more edits to GitFlow & Workflow entry
e53c9e1,Harrison Lu,"Mon, 7 Oct 2019 15:24:34 -0400",EDIT: Formatting change to GitFlow & Workflow entry
461f19b,Harrison Lu,"Mon, 7 Oct 2019 15:18:11 -0400",FEATURE: Created entry for GitFlow & Workflow and edited READMEs and Sources as needed
670269,Harrison Lu,"Mon, 7 Oct 2019 11:26:29 -0400",EDIT: Editing typo in main README and home directory filename in Sec1
4831355,Harrison Lu,"Mon, 7 Oct 2019 11:17:25 -0400",EDIT: Edited formatting in main README for section 1 Links
bc7e81c,Harrison Lu,"Sun, 6 Oct 2019 23:40:40 -0400",EDIT: Cleaned up formatting and marked all tasks as complete in READMEs and Sources
8c36598,Harrison Lu,"Sun, 6 Oct 2019 23:32:04 -0400",FEATURE: Created entry for Master Branch
775cc30,Harrison Lu,"Sun, 6 Oct 2019 23:23:49 -0400",FEATURE: Created entry for Git Status
2154042,Harrison Lu,"Sun, 6 Oct 2019 23:12:50 -0400",EDIT: Corrected link for REMOTE.md in READMEs
97418a8,Harrison Lu,"Sun, 6 Oct 2019 23:06:34 -0400",FEATURE: Created entry for Remote Add / Remove / Show
7651b9b,Harrison Lu,"Sun, 6 Oct 2019 22:50:53 -0400",FEATURE: Created entry for Git Pull
f766b3f,Harrison Lu,"Sun, 6 Oct 2019 21:52:09 -0400",FEATURE: Created entry for Pushes
d23d9dd,Harrison Lu,"Sun, 6 Oct 2019 21:24:14 -0400",FEATURE: Created entry for Commits
5b04bdf,Harrison Lu,"Sun, 6 Oct 2019 21:18:55 -0400",EDIT: Removed apostrophe symbols in README.md messing up links
2f95be5,Harrison Lu,"Sun, 6 Oct 2019 21:05:14 -0400",EDIT: Fixed issues with main README.md links
72c1b7c,Harrison Lu,"Sun, 6 Oct 2019 15:51:04 -0400",EDIT: Renamed Sources.md and edited main README.md
6e6df43,Harrison Lu,"Sun, 6 Oct 2019 15:45:15 -0400",EDIT: More corrections to formatting in main and Section 1 README files
34ffa98,Harrison Lu,"Sun, 6 Oct 2019 15:33:14 -0400",EDIT: Edits to formatting in main and Section 2 README.md
6a70254,Harrison Lu,"Sun, 6 Oct 2019 15:16:13 -0400",EDIT: Edits to formatting and adding links to main and Section 1 README files
ccb2ed1,Harrison Lu,"Sun, 6 Oct 2019 14:46:09 -0400",FEATURE: Created entry for Checkout and updated Section 2 README.md with sources and completed tasks
208303c,Harrison Lu,"Sat, 5 Oct 2019 23:42:37 -0400",EDIT: Edited position of Merge.jpg in Merge entry
193d655,Harrison Lu,"Sat, 5 Oct 2019 23:39:00 -0400",FEATURE: Created entry for Merges
1df7cf9,Harrison Lu,"Sat, 5 Oct 2019 17:40:15 -0400",FEATURE: Created entry for Branches
0add6aa,Harrison Lu,"Sat, 5 Oct 2019 17:31:01 -0400",EDIT: Fixed link to fork.jpg in fork.md entry
f2e02c5,Harrison Lu,"Sat, 5 Oct 2019 17:28:48 -0400",TASK: Created folder for images and moved fork.jpg to it
281a390,Harrison Lu,"Sat, 5 Oct 2019 17:22:37 -0400",FEATURE: Created entry for forking
